company,job_title,location,posted_on,posted_date,employment_type,seniority_level
Amazon,Operations Manager,"Gurgaon, Haryana, India",11 hours ago,14-08-2024,Full-time,Mid-Senior level
Amazon,"Business Development Associate , Private Brands","Bengaluru, Karnataka, India",8 hours ago,14-08-2024,Full-time,Not Applicable
Amazon,Area Manager,"Gurgaon, Haryana, India",12 hours ago,14-08-2024,Full-time,Mid-Senior level
Amazon,"Business Analyst, IN Stores Finance","Bengaluru, Karnataka, India",12 hours ago,14-08-2024,Full-time,Not Applicable
Amazon,Business Analyst,"Chennai, Tamil Nadu, India",12 hours ago,14-08-2024,null,null
Amazon,HR Business Partner,"Chennai, Tamil Nadu, India",11 hours ago,14-08-2024,Full-time,Not Applicable
Amazon,"Accounting Analyst-I, Accounting","Bengaluru, Karnataka, India",8 hours ago,14-08-2024,Full-time,Not Applicable
Amazon,Account Manager,"Bengaluru, Karnataka, India",12 hours ago,14-08-2024,Full-time,Mid-Senior level
Amazon,Investigations Specialist,"Bengaluru, Karnataka, India",11 hours ago,14-08-2024,Full-time,Not Applicable
Amazon,"FinOps-Analyst, GAR - Billing","Hyderabad, Telangana, India",11 hours ago,14-08-2024,null,null
Amazon,"Financial Analyst Intern, INOPs Finance","Bengaluru, Karnataka, India",11 hours ago,14-08-2024,Full-time,Not Applicable
Amazon,"Receivables Application Manager, Accounts Receivable","Hyderabad, Telangana, India",11 hours ago,14-08-2024,Full-time,Mid-Senior level
Amazon,"Area Manager, Inbound Operations","Bengaluru, Karnataka, India",8 hours ago,14-08-2024,Full-time,Mid-Senior level
Amazon,"Brand Manager, Amazon Shipping","Bengaluru, Karnataka, India",12 hours ago,14-08-2024,Full-time,Mid-Senior level
Amazon,"WHS Officer, WHS","Delhi, Delhi, India",12 hours ago,14-08-2024,null,null
Amazon,"Sales Associate, In Stock Management","Bengaluru, Karnataka, India",11 hours ago,14-08-2024,Full-time,Not Applicable
Amazon,"Communication Manager, IN Stores Communications","Bengaluru, Karnataka, India",20 hours ago,14-08-2024,Full-time,Mid-Senior level
Amazon,"Marketing Manager, IHS Program","Bengaluru, Karnataka, India",12 hours ago,14-08-2024,Full-time,Mid-Senior level
Amazon,"Instock Manager, GlobalSellingIN","Bengaluru, Karnataka, India",11 hours ago,14-08-2024,Full-time,Mid-Senior level
Amazon,Account Manager,"Chennai, Tamil Nadu, India",11 hours ago,14-08-2024,null,null
Amazon,"WHS Officer, WHS","Pune, Maharashtra, India",11 hours ago,14-08-2024,Full-time,Not Applicable
Amazon,RME Coordinator,"Gurugram, Haryana, India",11 hours ago,14-08-2024,Full-time,Not Applicable
Amazon,"Area Manager, IB, IB",Mumbai Metropolitan Region,12 hours ago,14-08-2024,Full-time,Mid-Senior level
Amazon,RME Coordinator,"Gurgaon, Haryana, India",12 hours ago,14-08-2024,Full-time,Not Applicable
Amazon,"Leader - Supply Chain and In-Stock Management, Grocery, Amazon India","Bengaluru, Karnataka, India",11 hours ago,14-08-2024,Full-time,null
Amazon,RME Coordinator,"Gurugram, Haryana, India",12 hours ago,14-08-2024,Full-time,Not Applicable
Amazon,"Campaign & Creative Mgr I - JP, Creative Studios","Bengaluru, Karnataka, India",12 hours ago,14-08-2024,Full-time,Not Applicable
Amazon,RME Coordinator,"Gurgaon, Haryana, India",12 hours ago,14-08-2024,null,Not Applicable
Amazon,"Leader - Growth, Marketing & Merchandising, Grocery, Amazon India","Bengaluru, Karnataka, India",12 hours ago,14-08-2024,Full-time,Mid-Senior level
Amazon,"Data Associate, Alexa Shopping","Chennai, Tamil Nadu, India",12 hours ago,14-08-2024,Full-time,null
Amazon,IT Support Associate II,"Delhi, Delhi, India",8 hours ago,14-08-2024,Full-time,Mid-Senior level
Amazon,Sr Associate- WHS,"Bengaluru, Karnataka, India",11 hours ago,14-08-2024,Full-time,Mid-Senior level
Amazon,"Account Manager, Amazon Business Advisory","Gurugram, Haryana, India",12 hours ago,14-08-2024,null,Mid-Senior level
Amazon,"Financial Analyst II, GFS Services FP&A","Hyderabad, Telangana, India",12 hours ago,14-08-2024,Full-time,Mid-Senior level
Amazon,"Program Manager, Amazon Freight, IN","Bengaluru, Karnataka, India",12 hours ago,14-08-2024,Full-time,null
Amazon,"Sales Assistant, Amazon Renewed","Bengaluru, Karnataka, India",12 hours ago,14-08-2024,Full-time,Not Applicable
Amazon,"Ad Sales Manager, Amazon","Gurugram, Haryana, India",20 hours ago,14-08-2024,Full-time,Mid-Senior level
Amazon,"Business Analyst, TSS","Bengaluru, Karnataka, India",11 hours ago,14-08-2024,null,Not Applicable
Amazon,"Finance Manager, IN Marketing Finance","Bengaluru, Karnataka, India",20 hours ago,14-08-2024,Full-time,Mid-Senior level
Amazon,"Digital Content Associate, Selection Growth & eXperience","Chennai, Tamil Nadu, India",20 hours ago,14-08-2024,Full-time,null
Amazon,Operations Manager,"Gurgaon, Haryana, India",11 hours ago,14-08-2024,Full-time,Not Applicable
Amazon,"Business Development Associate , Private Brands","Bengaluru, Karnataka, India",8 hours ago,14-08-2024,null,Mid-Senior level
Amazon,Area Manager,"Gurgaon, Haryana, India",12 hours ago,14-08-2024,Full-time,Not Applicable
