company,job_title,location,posted_on,posted_date,employment_type,seniority_level
Google,Digital Marketing Strategist,"Gurugram, Haryana, India",1 week ago,07-08-2024,Full-time,Not Applicable
Google,"Software Engineer, University Graduate, 2025","Bengaluru, Karnataka, India",2 weeks ago,31-07-2024,Full-time,Entry level
Google,"Software Engineer, University Graduate, 2025",Mumbai Metropolitan Region,2 weeks ago,31-07-2024,Full-time,Entry level
Google,Marketing Category Manager,"Gurgaon, Haryana, India",6 days ago,08-08-2024,null,Not Applicable
Google,Technical Recruiter,"Bengaluru, Karnataka, India",3 weeks ago,24-07-2024,Full-time,null
Google,"Software Engineer, University Graduate, 2025","Gurgaon, Haryana, India",2 weeks ago,31-07-2024,Full-time,Entry level
Google,"Software Engineer, University Graduate, 2025","Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Full-time,Entry level
Google,"Software Engineer, University Graduate, 2025","Pune, Maharashtra, India",2 weeks ago,31-07-2024,Full-time,Entry level
Google,Technical Recruiter,"Hyderabad, Telangana, India",3 weeks ago,24-07-2024,null,Not Applicable
Google,Executive Recruiter,"Gurugram, Haryana, India",1 week ago,07-08-2024,Full-time,null
Google,"Product Specialist, Product and Sales Activation","Gurugram, Haryana, India",5 days ago,09-08-2024,Full-time,Not Applicable
Google,Marketing Category Manager,"Bengaluru, Karnataka, India",1 week ago,07-08-2024,Full-time,Not Applicable
Google,Data Analyst,"Hyderabad, Telangana, India",4 days ago,10-08-2024,Full-time,Not Applicable
Google,"Business Development Consultant, New Business Sales","Gurugram, Haryana, India",4 days ago,10-08-2024,null,Not Applicable
Google,Digital Marketing Strategist,"Hyderabad, Telangana, India",1 week ago,07-08-2024,Full-time,null
Google,Executive Recruiter,"Bengaluru, Karnataka, India",1 week ago,07-08-2024,Full-time,Not Applicable
Google,Executive Recruiter,"Hyderabad, Telangana, India",1 week ago,07-08-2024,Full-time,Not Applicable
Google,"Administrative Business Partner, Search Platforms","Bengaluru, Karnataka, India",1 week ago,07-08-2024,Full-time,Not Applicable
Google,"Software Engineer, Core","Hyderabad, Telangana, India",1 week ago,07-08-2024,null,Not Applicable
Google,"Marketing Analytics Manager, Ads Marketing","Gurugram, Haryana, India",1 week ago,07-08-2024,Full-time,null
Google,"Media lead, Marketing","Gurgaon, Haryana, India",1 week ago,07-08-2024,Full-time,Mid-Senior level
Google,"Account Manager, Ad Sales","Gurgaon, Haryana, India",1 week ago,07-08-2024,Full-time,Not Applicable
Google,Internal Communications Specialist,"Gurugram, Haryana, India",4 days ago,10-08-2024,Full-time,Not Applicable
Google,"Embedded Software Engineer, University Graduate, 2025","Bengaluru, Karnataka, India",1 week ago,07-08-2024,null,null
Google,"Growth Manager, AppDev (English, Hindi)","Gurugram, Haryana, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Google,"Business Development Consultant, New Business Sales",Mumbai Metropolitan Region,1 day ago,13-08-2024,Full-time,Not Applicable
Google,"Software Engineer, Google Ads","Bengaluru, Karnataka, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Google,"Product Manager, Customer Engagement","Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Google,"Account Strategist, Mid-Market Sales, Google Customer Solutions","Gurugram, Haryana, India",1 week ago,07-08-2024,null,null
Google,"Account Strategist, Mid-Market Sales, Google Customer Solutions",Mumbai Metropolitan Region,1 week ago,07-08-2024,Full-time,Not Applicable
Google,"Software Engineer, Search","Bengaluru, Karnataka, India",5 days ago,09-08-2024,Full-time,Not Applicable
Google,"Business Intelligence Analyst, Finance","Bengaluru, Karnataka, India",1 week ago,07-08-2024,Full-time,Not Applicable
Google,"Software Engineer, YouTube","Bengaluru, Karnataka, India",4 days ago,10-08-2024,Full-time,Not Applicable
Google,"Logistics Operations Manager, Data Centers",Mumbai Metropolitan Region,2 days ago,12-08-2024,null,null
Google,"Software Engineer, Payments","Bengaluru, Karnataka, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Google,"Strategy and Operations Lead, Go-To-Market","Gurgaon, Haryana, India",1 week ago,07-08-2024,Full-time,Mid-Senior level
Google,"Product Manager, Search","Bengaluru, Karnataka, India",1 week ago,07-08-2024,Full-time,Not Applicable
Google,"Software Engineer, Payments","Hyderabad, Telangana, India",4 days ago,10-08-2024,null,Not Applicable
Google,"Customer Onboarding Strategist, Acquisitions, Google Customer Solutions","Bengaluru, Karnataka, India",4 days ago,10-08-2024,Full-time,null
Google,"Product Manager, Member Retention and Experience","Bengaluru, Karnataka, India",5 days ago,09-08-2024,Full-time,Not Applicable
Google,Digital Marketing Strategist,"Gurugram, Haryana, India",1 week ago,07-08-2024,Full-time,Not Applicable
Google,"Software Engineer, University Graduate, 2025","Bengaluru, Karnataka, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Google,"Software Engineer, University Graduate, 2025",Mumbai Metropolitan Region,2 weeks ago,31-07-2024,null,Not Applicable
Google,Marketing Category Manager,"Gurgaon, Haryana, India",6 days ago,08-08-2024,Full-time,null
Google,Technical Recruiter,"Bengaluru, Karnataka, India",3 weeks ago,24-07-2024,Full-time,Not Applicable
Google,"Software Engineer, University Graduate, 2025","Gurgaon, Haryana, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Google,"Software Engineer, University Graduate, 2025","Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Google,"Software Engineer, University Graduate, 2025","Pune, Maharashtra, India",2 weeks ago,31-07-2024,null,Not Applicable
Google,Technical Recruiter,"Hyderabad, Telangana, India",3 weeks ago,24-07-2024,Full-time,null
